# Height[km]  Transmittance  Weighting_Function
1.445000        0.303093        0.051733
1.450000        0.303352        0.051741
1.455000        0.303611        0.051748
1.460000        0.303870        0.051755
1.465000        0.304128        0.051762
1.470000        0.304387        0.051769
1.475000        0.304646        0.051776
1.480000        0.304905        0.051783
1.485000        0.305164        0.051790
1.490000        0.305423        0.051797
1.495000        0.305682        0.051804
1.500000        0.305941        0.051811
1.505000        0.306200        0.051818
1.510000        0.306459        0.051825
1.515000        0.306718        0.051831
1.520000        0.306978        0.051838
1.525000        0.307237        0.051845
1.530000        0.307496        0.051852
1.535000        0.307755        0.051858
1.540000        0.308015        0.051865
1.545000        0.308274        0.051872
1.550000        0.308534        0.051878
1.555000        0.308793        0.051885
1.560000        0.309052        0.051891
1.565000        0.309312        0.051898
1.570000        0.309571        0.051904
1.575000        0.309831        0.051911
1.580000        0.310091        0.051917
1.585000        0.310350        0.051924
1.590000        0.310610        0.051930
1.595000        0.310869        0.051936
1.600000        0.311129        0.051943
1.605000        0.311389        0.051949
1.610000        0.311649        0.051955
1.615000        0.311909        0.051961
1.620000        0.312168        0.051967
1.625000        0.312428        0.051974
1.630000        0.312688        0.051980
1.635000        0.312948        0.051986
1.640000        0.313208        0.051992
1.645000        0.313468        0.051998
1.650000        0.313728        0.052004
1.655000        0.313988        0.052010
1.660000        0.314248        0.052016
1.665000        0.314508        0.052022
1.670000        0.314768        0.052027
1.675000        0.315029        0.052033
1.680000        0.315289        0.052039
1.685000        0.315549        0.052045
1.690000        0.315809        0.052051
1.695000        0.316070        0.052056
1.700000        0.316330        0.052062
1.705000        0.316590        0.052068
1.710000        0.316851        0.052073
1.715000        0.317111        0.052079
1.720000        0.317371        0.052084
1.725000        0.317632        0.052090
1.730000        0.317892        0.052095
1.735000        0.318153        0.052101
1.740000        0.318413        0.052106
1.745000        0.318674        0.052112
1.750000        0.318934        0.052117
1.755000        0.319195        0.052123
1.760000        0.319456        0.052128
1.765000        0.319716        0.052133
1.770000        0.319977        0.052138
1.775000        0.320238        0.052144
1.780000        0.320499        0.052149
1.785000        0.320759        0.052154
1.790000        0.321020        0.052159
1.795000        0.321281        0.052164
1.800000        0.321542        0.052169
1.805000        0.321803        0.052175
1.810000        0.322064        0.052180
1.815000        0.322324        0.052185
1.820000        0.322585        0.052190
1.825000        0.322846        0.052194
1.830000        0.323107        0.052199
1.835000        0.323368        0.052204
1.840000        0.323629        0.052209
1.845000        0.323891        0.052214
1.850000        0.324152        0.052219
1.855000        0.324413        0.052223
1.860000        0.324674        0.052228
1.865000        0.324935        0.052233
1.870000        0.325196        0.052238
1.875000        0.325457        0.052242
1.880000        0.325719        0.052247
1.885000        0.325980        0.052251
1.890000        0.326241        0.052256
1.895000        0.326503        0.052261
1.900000        0.326764        0.052265
1.905000        0.327025        0.052269
1.910000        0.327287        0.052274
1.915000        0.327548        0.052278
1.920000        0.327809        0.052283
1.925000        0.328071        0.052287
1.930000        0.328332        0.052291
1.935000        0.328594        0.052296
1.940000        0.328855        0.052300
1.945000        0.329117        0.052304
1.950000        0.329378        0.052308
1.955000        0.329640        0.052313
1.960000        0.329901        0.052317
1.965000        0.330163        0.052321
1.970000        0.330425        0.052325
1.975000        0.330686        0.052329
1.980000        0.330948        0.052333
1.985000        0.331210        0.052337
1.990000        0.331471        0.052341
1.995000        0.331733        0.052345
2.000000        0.331995        0.052349
2.005000        0.332257        0.052353
2.010000        0.332518        0.052357
2.015000        0.332780        0.052360
2.020000        0.333042        0.052364
2.025000        0.333304        0.052368
2.030000        0.333566        0.052372
2.035000        0.333828        0.052375
2.040000        0.334089        0.052379
2.045000        0.334351        0.052383
2.050000        0.334613        0.052386
2.055000        0.334875        0.052390
2.060000        0.335137        0.052393
2.065000        0.335399        0.052397
2.070000        0.335661        0.052400
2.075000        0.335923        0.052404
2.080000        0.336185        0.052407
2.085000        0.336447        0.052411
2.090000        0.336709        0.052414
2.095000        0.336971        0.052418
2.100000        0.337234        0.052421
2.105000        0.337496        0.052424
2.110000        0.337758        0.052427
2.115000        0.338020        0.052431
2.120000        0.338282        0.052434
2.125000        0.338544        0.052437
2.130000        0.338807        0.052440
2.135000        0.339069        0.052443
2.140000        0.339331        0.052446
2.145000        0.339593        0.052450
2.150000        0.339856        0.052453
2.155000        0.340118        0.052456
2.160000        0.340380        0.052459
2.165000        0.340642        0.052462
2.170000        0.340905        0.052464
2.175000        0.341167        0.052467
2.180000        0.341429        0.052470
2.185000        0.341692        0.052473
2.190000        0.341954        0.052476
2.195000        0.342217        0.052479
2.200000        0.342479        0.052481
2.205000        0.342741        0.052484
2.210000        0.343004        0.052487
2.215000        0.343266        0.052490
2.220000        0.343529        0.052492
2.225000        0.343791        0.052495
2.230000        0.344054        0.052497
2.235000        0.344316        0.052500
2.240000        0.344579        0.052502
2.245000        0.344841        0.052505
2.250000        0.345104        0.052507
2.255000        0.345366        0.052510
2.260000        0.345629        0.052512
2.265000        0.345891        0.052515
2.270000        0.346154        0.052517
2.275000        0.346417        0.052519
2.280000        0.346679        0.052522
2.285000        0.346942        0.052524
2.290000        0.347204        0.052526
2.295000        0.347467        0.052528
2.300000        0.347730        0.052531
2.305000        0.347992        0.052533
2.310000        0.348255        0.052535
2.315000        0.348518        0.052537
2.320000        0.348780        0.052539
2.325000        0.349043        0.052541
2.330000        0.349306        0.052543
2.335000        0.349569        0.052545
2.340000        0.349831        0.052547
2.345000        0.350094        0.052549
2.350000        0.350357        0.052551
2.355000        0.350620        0.052553
2.360000        0.350882        0.052555
2.365000        0.351145        0.052556
2.370000        0.351408        0.052558
2.375000        0.351671        0.052560
2.380000        0.351934        0.052562
2.385000        0.352196        0.052563
2.390000        0.352459        0.052565
2.395000        0.352722        0.052567
2.400000        0.352985        0.052568
2.405000        0.353248        0.052570
2.410000        0.353511        0.052571
2.415000        0.353773        0.052573
2.420000        0.354036        0.052575
2.425000        0.354299        0.052576
2.430000        0.354562        0.052577
2.435000        0.354825        0.052579
2.440000        0.355088        0.052580
2.445000        0.355351        0.052582
2.450000        0.355614        0.052583
2.455000        0.355877        0.052584
2.460000        0.356140        0.052586
2.465000        0.356403        0.052587
2.470000        0.356665        0.052588
2.475000        0.356928        0.052589
2.480000        0.357191        0.052591
2.485000        0.357454        0.052592
2.490000        0.357717        0.052593
2.495000        0.357980        0.052594
2.500000        0.358243        0.052595
2.505000        0.358506        0.052596
2.510000        0.358769        0.052597
2.515000        0.359032        0.052598
2.520000        0.359295        0.052599
2.525000        0.359558        0.052600
2.530000        0.359821        0.052601
2.535000        0.360084        0.052602
2.540000        0.360347        0.052603
2.545000        0.360610        0.052603
2.550000        0.360873        0.052604
2.555000        0.361136        0.052605
2.560000        0.361399        0.052606
2.565000        0.361662        0.052606
2.570000        0.361925        0.052607
2.575000        0.362188        0.052608
2.580000        0.362451        0.052608
2.585000        0.362714        0.052609
2.590000        0.362978        0.052609
2.595000        0.363241        0.052610
2.600000        0.363504        0.052611
2.605000        0.363767        0.052611
2.610000        0.364030        0.052612
2.615000        0.364293        0.052612
2.620000        0.364556        0.052612
2.625000        0.364819        0.052613
2.630000        0.365082        0.052613
2.635000        0.365345        0.052613
2.640000        0.365608        0.052614
2.645000        0.365871        0.052614
2.650000        0.366134        0.052614
2.655000        0.366397        0.052614
2.660000        0.366660        0.052615
2.665000        0.366923        0.052615
2.670000        0.367187        0.052615
2.675000        0.367450        0.052615
2.680000        0.367713        0.052615
2.685000        0.367976        0.052615
2.690000        0.368239        0.052615
2.695000        0.368502        0.052615
2.700000        0.368765        0.052615
2.705000        0.369028        0.052615
2.710000        0.369291        0.052615
2.715000        0.369554        0.052615
2.720000        0.369817        0.052615
2.725000        0.370080        0.052615
2.730000        0.370343        0.052615
2.735000        0.370607        0.052614
2.740000        0.370870        0.052614
2.745000        0.371133        0.052614
2.750000        0.371396        0.052614
2.755000        0.371659        0.052613
2.760000        0.371922        0.052613
2.765000        0.372185        0.052613
2.770000        0.372448        0.052612
2.775000        0.372711        0.052612
2.780000        0.372974        0.052611
2.785000        0.373237        0.052611
2.790000        0.373500        0.052610
2.795000        0.373763        0.052610
2.800000        0.374026        0.052609
2.805000        0.374289        0.052609
2.810000        0.374552        0.052608
2.815000        0.374815        0.052607
2.820000        0.375078        0.052607
2.825000        0.375342        0.052606
2.830000        0.375605        0.052605
2.835000        0.375868        0.052605
2.840000        0.376131        0.052604
2.845000        0.376394        0.052603
2.850000        0.376657        0.052602
2.855000        0.376920        0.052601
2.860000        0.377183        0.052601
2.865000        0.377446        0.052600
2.870000        0.377709        0.052599
2.875000        0.377972        0.052598
2.880000        0.378235        0.052597
2.885000        0.378498        0.052596
2.890000        0.378761        0.052595
2.895000        0.379024        0.052594
2.900000        0.379286        0.052593
2.905000        0.379549        0.052592
2.910000        0.379812        0.052590
2.915000        0.380075        0.052589
2.920000        0.380338        0.052588
2.925000        0.380601        0.052587
2.930000        0.380864        0.052586
2.935000        0.381127        0.052584
2.940000        0.381390        0.052583
2.945000        0.381653        0.052582
2.950000        0.381916        0.052581
2.955000        0.382179        0.052579
2.960000        0.382442        0.052578
2.965000        0.382704        0.052576
2.970000        0.382967        0.052575
2.975000        0.383230        0.052573
2.980000        0.383493        0.052572
2.985000        0.383756        0.052570
2.990000        0.384019        0.052569
2.995000        0.384282        0.052567
3.000000        0.384544        0.052566
3.005000        0.384807        0.052564
3.010000        0.385070        0.052562
3.015000        0.385333        0.052561
3.020000        0.385596        0.052559
3.025000        0.385858        0.052557
3.030000        0.386121        0.052556
3.035000        0.386384        0.052554
3.040000        0.386647        0.052552
3.045000        0.386909        0.052550
3.050000        0.387172        0.052548
3.055000        0.387435        0.052546
3.060000        0.387698        0.052545
3.065000        0.387960        0.052543
3.070000        0.388223        0.052541
3.075000        0.388486        0.052539
3.080000        0.388748        0.052537
3.085000        0.389011        0.052535
3.090000        0.389274        0.052533
3.095000        0.389536        0.052531
3.100000        0.389799        0.052528
3.105000        0.390062        0.052526
3.110000        0.390324        0.052524
3.115000        0.390587        0.052522
3.120000        0.390850        0.052520
3.125000        0.391112        0.052518
3.130000        0.391375        0.052515
3.135000        0.391637        0.052513
3.140000        0.391900        0.052511
3.145000        0.392162        0.052508
3.150000        0.392425        0.052506
3.155000        0.392687        0.052504
3.160000        0.392950        0.052501
3.165000        0.393212        0.052499
3.170000        0.393475        0.052496
3.175000        0.393737        0.052494
3.180000        0.394000        0.052491
3.185000        0.394262        0.052489
3.190000        0.394525        0.052486
3.195000        0.394787        0.052484
3.200000        0.395050        0.052481
3.205000        0.395312        0.052479
3.210000        0.395574        0.052476
3.215000        0.395837        0.052473
3.220000        0.396099        0.052471
3.225000        0.396361        0.052468
3.230000        0.396624        0.052465
3.235000        0.396886        0.052462
3.240000        0.397148        0.052459
3.245000        0.397411        0.052457
3.250000        0.397673        0.052454
3.255000        0.397935        0.052451
3.260000        0.398197        0.052448
3.265000        0.398460        0.052445
3.270000        0.398722        0.052442
3.275000        0.398984        0.052439
3.280000        0.399246        0.052436
3.285000        0.399508        0.052433
3.290000        0.399770        0.052430
3.295000        0.400033        0.052427
3.300000        0.400295        0.052424
3.305000        0.400557        0.052421
3.310000        0.400819        0.052418
3.315000        0.401081        0.052415
3.320000        0.401343        0.052411
3.325000        0.401605        0.052408
3.330000        0.401867        0.052405
3.335000        0.402129        0.052402
3.340000        0.402391        0.052398
3.345000        0.402653        0.052395
3.350000        0.402915        0.052392
3.355000        0.403177        0.052388
3.360000        0.403439        0.052385
3.365000        0.403701        0.052381
3.370000        0.403963        0.052378
3.375000        0.404225        0.052375
3.380000        0.404486        0.052371
3.385000        0.404748        0.052368
3.390000        0.405010        0.052364
3.395000        0.405272        0.052361
3.400000        0.405534        0.052357
3.405000        0.405795        0.052353
3.410000        0.406057        0.052350
3.415000        0.406319        0.052346
3.420000        0.406581        0.052342
3.425000        0.406842        0.052339
3.430000        0.407104        0.052335
3.435000        0.407366        0.052331
3.440000        0.407627        0.052327
3.445000        0.407889        0.052324
3.450000        0.408151        0.052320
3.455000        0.408412        0.052316
3.460000        0.408674        0.052312
3.465000        0.408935        0.052308
3.470000        0.409197        0.052304
3.475000        0.409458        0.052300
3.480000        0.409720        0.052296
3.485000        0.409981        0.052293
3.490000        0.410243        0.052289
3.495000        0.410504        0.052284
3.500000        0.410765        0.052280
3.505000        0.411027        0.052276
3.510000        0.411288        0.052272
3.515000        0.411550        0.052268
3.520000        0.411811        0.052264
3.525000        0.412072        0.052260
3.530000        0.412333        0.052256
3.535000        0.412595        0.052251
3.540000        0.412856        0.052247
3.545000        0.413117        0.052243
3.550000        0.413378        0.052239
3.555000        0.413640        0.052234
3.560000        0.413901        0.052230
3.565000        0.414162        0.052226
3.570000        0.414423        0.052221
3.575000        0.414684        0.052217
3.580000        0.414945        0.052212
3.585000        0.415206        0.052208
3.590000        0.415467        0.052204
3.595000        0.415728        0.052199
3.600000        0.415989        0.052195
3.605000        0.416250        0.052190
3.610000        0.416511        0.052185
3.615000        0.416772        0.052181
3.620000        0.417033        0.052176
3.625000        0.417294        0.052172
3.630000        0.417554        0.052167
3.635000        0.417815        0.052162
3.640000        0.418076        0.052158
3.645000        0.418337        0.052153
3.650000        0.418598        0.052148
3.655000        0.418858        0.052143
3.660000        0.419119        0.052139
3.665000        0.419380        0.052134
3.670000        0.419640        0.052129
3.675000        0.419901        0.052124
3.680000        0.420161        0.052119
3.685000        0.420422        0.052114
3.690000        0.420683        0.052109
3.695000        0.420943        0.052104
3.700000        0.421204        0.052099
3.705000        0.421464        0.052094
3.710000        0.421725        0.052089
3.715000        0.421985        0.052084
3.720000        0.422245        0.052079
3.725000        0.422506        0.052074
3.730000        0.422766        0.052069
3.735000        0.423026        0.052064
3.740000        0.423287        0.052059
3.745000        0.423547        0.052054
3.750000        0.423807        0.052048
3.755000        0.424067        0.052043
3.760000        0.424328        0.052038
3.765000        0.424588        0.052033
3.770000        0.424848        0.052027
3.775000        0.425108        0.052022
3.780000        0.425368        0.052017
3.785000        0.425628        0.052011
3.790000        0.425888        0.052006
3.795000        0.426148        0.052001
3.800000        0.426408        0.051995
3.805000        0.426668        0.051990
3.810000        0.426928        0.051984
3.815000        0.427188        0.051979
3.820000        0.427448        0.051973
3.825000        0.427708        0.051968
3.830000        0.427967        0.051962
3.835000        0.428227        0.051957
3.840000        0.428487        0.051951
3.845000        0.428747        0.051946
3.850000        0.429006        0.051940
3.855000        0.429266        0.051934
3.860000        0.429526        0.051929
3.865000        0.429785        0.051923
3.870000        0.430045        0.051917
3.875000        0.430304        0.051911
3.880000        0.430564        0.051906
3.885000        0.430824        0.051900
3.890000        0.431083        0.051894
3.895000        0.431342        0.051888
3.900000        0.431602        0.051882
3.905000        0.431861        0.051876
3.910000        0.432121        0.051871
3.915000        0.432380        0.051865
3.920000        0.432639        0.051859
3.925000        0.432898        0.051853
3.930000        0.433158        0.051847
3.935000        0.433417        0.051841
3.940000        0.433676        0.051835
3.945000        0.433935        0.051829
3.950000        0.434194        0.051823
3.955000        0.434453        0.051816
3.960000        0.434712        0.051810
3.965000        0.434971        0.051804
3.970000        0.435230        0.051798
3.975000        0.435489        0.051792
3.980000        0.435748        0.051786
3.985000        0.436007        0.051779
3.990000        0.436266        0.051773
3.995000        0.436525        0.051767
4.000000        0.436784        0.051761
4.005000        0.437043        0.051754
4.010000        0.437301        0.051748
4.015000        0.437560        0.051742
4.020000        0.437819        0.051735
4.025000        0.438077        0.051729
4.030000        0.438336        0.051723
4.035000        0.438594        0.051716
4.040000        0.438853        0.051710
4.045000        0.439112        0.051703
4.050000        0.439370        0.051697
4.055000        0.439628        0.051690
4.060000        0.439887        0.051684
4.065000        0.440145        0.051677
4.070000        0.440404        0.051671
4.075000        0.440662        0.051664
4.080000        0.440920        0.051657
4.085000        0.441179        0.051651
4.090000        0.441437        0.051644
4.095000        0.441695        0.051637
4.100000        0.441953        0.051631
4.105000        0.442211        0.051624
4.110000        0.442469        0.051617
4.115000        0.442727        0.051610
4.120000        0.442985        0.051604
4.125000        0.443243        0.051597
4.130000        0.443501        0.051590
4.135000        0.443759        0.051583
4.140000        0.444017        0.051576
4.145000        0.444275        0.051569
4.150000        0.444533        0.051562
4.155000        0.444791        0.051556
4.160000        0.445048        0.051549
4.165000        0.445306        0.051542
4.170000        0.445564        0.051535
4.175000        0.445821        0.051528
